gene_id,gut_r1,gut_r2,gut_r3,duct_r1,duct_r2,duct_r3
ENSMUSG00000070527,0.0,5.44,0.0,4.71,0.0,6.8
ENSMUSG00000084686,3.7,11.66,3.46,2.35,3.86,12.84
ENSMUSG00000095105,3.7,3.89,0.0,21.17,68.55,6.04
ENSMUSG00000026848,1430.07,977.1,957.48,763.05,884.41,971.98
ENSMUSG00000043263,960.16,977.88,1250.12,2291.51,1884.69,1736.27
ENSMUSG00000043262,616.06,438.41,421.32,296.44,225.93,168.42
ENSMUSG00000025027,1664.1,1679.81,2179.92,1757.45,2343.31,1697.0
ENSMUSG00000035279,16.65,16.32,18.68,3.92,8.69,4.53
ENSMUSG00000035278,1543.85,1686.03,1584.27,2018.6,2609.79,2872.89
ENSMUSG00000044533,6620.32,7701.01,5955.87,6461.23,8905.93,12838.89
ENSMUSG00000034435,13.88,17.88,16.6,1.57,0.0,2.27
ENSMUSG00000050423,0.0,0.0,0.0,0.0,19.31,0.0
ENSMUSG00000034437,76.78,66.85,66.41,69.01,106.21,108.75
ENSMUSG00000034430,484.71,569.01,677.98,577.97,458.62,320.97
ENSMUSG00000034432,1528.12,1661.93,1524.08,1547.28,1981.24,1578.43
ENSMUSG00000083488,0.0,1.55,0.69,1.57,0.0,3.02
ENSMUSG00000083483,2.78,4.66,3.46,2.35,2.9,11.33
ENSMUSG00000083482,1.85,2.33,0.69,6.27,15.45,12.08
ENSMUSG00000087903,0.93,3.89,0.0,0.0,0.0,0.0
ENSMUSG00000053914,3.7,3.89,2.08,15.68,8.69,5.29
ENSMUSG00000053916,1.85,1.55,5.53,8.63,1.93,5.29
ENSMUSG00000017723,2.78,0.0,6.23,0.0,1.93,0.0
ENSMUSG00000017721,509.68,460.18,705.66,505.04,600.55,598.14
ENSMUSG00000017720,4.63,0.78,2.77,0.0,0.0,3.02
ENSMUSG00000000126,0.93,0.0,1.38,0.0,2.9,1.51
ENSMUSG00000017724,5.55,7.0,11.07,9.41,2.9,0.0
ENSMUSG00000009356,0.0,3.11,0.69,10.98,83.03,66.46
ENSMUSG00000110899,4.63,7.77,6.92,10.98,12.55,18.88
ENSMUSG00000116922,0.0,0.78,1.38,18.82,59.86,29.45
ENSMUSG00000110898,6.48,4.66,2.77,8.63,23.17,5.29
ENSMUSG00000015474,24.05,19.43,22.14,322.32,495.31,337.59
ENSMUSG00000048782,0.93,0.78,13.14,0.0,0.0,2.27
ENSMUSG00000078816,52.73,41.98,18.68,63.52,33.79,76.28
ENSMUSG00000078817,0.0,0.0,0.0,0.0,4.83,21.9
